x,y
-3.770721001661899718e-01,-1.315005975185038256e+00
-3.483706109491245262e-01,-1.300136069544852502e+00
-3.265947545725926826e-01,-1.309899206297448160e+00
2.250478367065422147e-01,-1.276310887316017828e+00
2.549206027499862359e-01,-1.311453923917170972e+00
2.763144288737730547e-01,-1.299958201734461749e+00
3.021090686660632407e-01,-1.308579098350257208e+00
3.307070142133196611e-01,-1.326394295232468323e+00
3.548407106047724024e-01,-1.324284414809051347e+00
3.776229656651379218e-01,-1.316928589129875427e+00
4.084430414388559027e-01,-1.335957767545656649e+00
4.273702938852126376e-01,-1.315311247100145797e+00
4.557951920122964573e-01,-1.323726057831178249e+00
4.846423435131165247e-01,-1.331544575157539434e+00
5.081655283248459609e-01,-1.323817112421184827e+00
5.345634073448628509e-01,-1.323091491233166606e+00
5.622618783873795101e-01,-1.324606586992423729e+00
5.974958980579897494e-01,-1.341998360121154921e+00
6.136415056542460222e-01,-1.315959029087230059e+00
6.448437162551122759e-01,-1.322126110680688971e+00
6.828014630234713334e-01,-1.340073881241546694e+00
6.990429178407323585e-01,-1.314709050799862000e+00
7.369103886080127230e-01,-1.329422062844674457e+00
7.549997732475950407e-01,-1.307698479617956933e+00
7.972787026701558810e-01,-1.326895098475894264e+00
8.277336835754599553e-01,-1.324651298375231656e+00
8.594401428253723996e-01,-1.323422261177856551e+00
8.902348795614574151e-01,-1.319827974966506723e+00
9.251785840436052011e-01,-1.321292436010872207e+00
9.498607744102977035e-01,-1.307371672896013415e+00
9.442475570970346732e-01,-1.253059283861726270e+00
9.505811240615925639e-01,-1.216688792531243291e+00
9.464976313671691344e-01,-1.168827651499191100e+00
9.545394100373324475e-01,-1.137576176425900920e+00
9.381641871254193799e-01,-1.079234825226805805e+00
9.468195968299800702e-01,-1.051550066855013288e+00
9.629814611892041354e-01,-1.032671553994289226e+00
9.572390729481429217e-01,-9.912504300349944675e-01
9.574223915201162116e-01,-9.574227328207485233e-01
9.509670710525146564e-01,-9.183385543339772639e-01
9.741629801667364141e-01,-9.084220020470958890e-01
9.579135503570166410e-01,-8.625095469332629827e-01
9.713110327153340329e-01,-8.443481068436751169e-01
9.805367162981918350e-01,-8.227682995527796361e-01
9.131463333449592046e-01,-7.394515953339518832e-01
9.109403157752551383e-01,-7.117048426056156174e-01
8.824921322945913360e-01,-6.650057733512926283e-01
8.931546204485408813e-01,-6.489150660184657138e-01
8.945139234297194708e-01,-6.263456373704280322e-01
8.820958761431642037e-01,-5.949814178735602921e-01
8.671852958475778639e-01,-5.631569439560241142e-01
8.658570292139530222e-01,-5.410477441367574913e-01
8.683103882942637686e-01,-5.217337374235970771e-01
8.521689289925746813e-01,-4.920001727127074065e-01
8.842404646477786123e-01,-4.901427097125194976e-01
8.573420409231200523e-01,-4.558570559115712739e-01
8.981345046000416277e-01,-4.576226003282227173e-01
8.880084140323752928e-01,-4.331108501919164744e-01
8.709617292611759876e-01,-4.061363253094661396e-01
7.701187508121548619e-01,-3.428791343959330384e-01
1.065944526995167063e+00,-4.524668470721051605e-01
1.065334211673081066e+00,-4.304231978037658668e-01
1.067082355146572681e+00,-4.096147734097735915e-01
1.073128860155556197e+00,-3.905871964327152779e-01
1.031560660473210378e+00,-3.551950428236064217e-01
1.032847279101759330e+00,-3.355926451553898904e-01
1.029940182034618568e+00,-3.148845322930775015e-01
1.033356311293837093e+00,-2.963103717880726240e-01
1.029676862225385126e+00,-2.759012991378385071e-01
9.499194428202398788e-01,-2.368417150768644674e-01
1.026011605691157458e+00,-2.368736556706685370e-01
9.781475597934847777e-01,-2.079118834267323357e-01
1.028745227232412462e+00,-1.999680261236811141e-01
1.041926535309228186e+00,-1.837199728536289545e-01
9.797867870366819831e-01,-1.551831813786807290e-01
9.724432096725590391e-01,-1.366681779004052244e-01
9.746802903816350616e-01,-1.196758890940740339e-01
9.835821561003085245e-01,-1.033788495327357670e-01
1.007152859122698585e+00,-8.811466146915808428e-02
9.915786695908997972e-01,-6.933813587468021233e-02
9.906404717987492559e-01,-5.191746785836691414e-02
1.003388331762228081e+00,-3.503929614878426024e-02
9.968481275586821289e-01,-1.740025134775223525e-02
